id_ipc;valor_ipc_intermensual;valor_ipc_interanual;id_periodo;id_region
NULL;1.6;0;1;1
NULL;2.1;0;2;1
NULL;2.4;0;3;1
NULL;2.7;0;4;1
NULL;1.4;0;5;1
NULL;1.2;0;6;1
NULL;1.7;0;7;1
NULL;1.4;0;8;1
NULL;1.9;0;9;1
NULL;1.5;0;10;1
NULL;1.4;0;11;1
NULL;3.1;24.8;12;1
NULL;1.8;25;13;1
NULL;2.4;25.4;14;1
NULL;2.3;25.4;15;1
NULL;2.7;25.5;16;1
NULL;2.1;26.3;17;1
NULL;3.7;29.5;18;1
NULL;3.1;31.2;19;1
NULL;3.9;34.4;20;1
NULL;6.5;40.5;21;1
NULL;5.4;45.9;22;1
NULL;3.2;48.5;23;1
NULL;2.6;47.6;24;1
NULL;2.9;49.3;25;1
NULL;3.8;51.3;26;1
NULL;4.7;54.7;27;1
NULL;3.4;55.8;28;1
NULL;3.1;57.3;29;1
NULL;2.7;55.8;30;1
NULL;2.2;54.4;31;1
NULL;4;54.5;32;1
NULL;5.9;53.5;33;1
NULL;3.3;50.5;34;1
NULL;4.3;52.1;35;1
NULL;3.7;53.8;36;1
NULL;2.3;52.9;37;1
NULL;2;50.3;38;1
NULL;3.3;48.4;39;1
NULL;1.5;45.6;40;1
NULL;1.5;43.4;41;1
NULL;2.2;42.8;42;1
NULL;1.9;42.4;43;1
NULL;2.7;40.7;44;1
NULL;2.8;36.6;45;1
NULL;3.8;37.2;46;1
NULL;3.2;35.8;47;1
NULL;4;36.1;48;1
NULL;4;38.5;49;1
NULL;3.6;40.7;50;1
NULL;4.8;42.6;51;1
NULL;4.1;46.3;52;1
NULL;3.3;48.8;53;1
NULL;3.2;50.2;54;1
NULL;3;51.8;55;1
NULL;2.5;51.4;56;1
NULL;3.5;52.5;57;1
NULL;3.5;52.1;58;1
NULL;2.5;51.2;59;1
NULL;3.8;50.9;60;1
NULL;3.9;50.7;61;1
NULL;4.7;52.3;62;1
NULL;6.7;55.1;63;1
NULL;6;58;64;1
NULL;5.1;60.7;65;1
NULL;1.3;0;1;2
NULL;2.5;0;2;2
NULL;2.4;0;3;2
NULL;2.6;0;4;2
NULL;1.3;0;5;2
NULL;1.4;0;6;2
NULL;1.7;0;7;2
NULL;1.5;0;8;2
NULL;2;0;9;2
NULL;1.3;0;10;2
NULL;1.2;0;11;2
NULL;3.4;25;12;2
NULL;1.6;25.4;13;2
NULL;2.6;25.5;14;2
NULL;2.5;25.6;15;2
NULL;2.6;25.6;16;2
NULL;1.9;26.4;17;2
NULL;3.9;29.5;18;2
NULL;2.8;30.9;19;2
NULL;4.1;34.2;20;2
NULL;6.6;40.3;21;2
NULL;5.1;45.5;22;2
NULL;2.9;48;23;2
NULL;2.8;47.1;24;2
NULL;2.8;48.9;25;2
NULL;3.8;50.7;26;2
NULL;4.8;54.1;27;2
NULL;3.2;55.1;28;2
NULL;3;56.8;29;2
NULL;2.6;54.8;30;2
NULL;2.1;53.9;31;2
NULL;3.9;53.6;32;2
NULL;5.8;52.4;33;2
NULL;3.2;49.7;34;2
NULL;4.1;51.4;35;2
NULL;3.8;52.9;36;2
NULL;1.9;51.5;37;2
NULL;1.8;48.6;38;2
NULL;3.6;46.9;39;2
NULL;1.4;44.2;40;2
NULL;1.5;42.1;41;2
NULL;2;41.3;42;2
NULL;1.6;40.6;43;2
NULL;2.8;39.2;44;2
NULL;2.8;35.2;45;2
NULL;3.6;35.7;46;2
NULL;3;34.2;47;2
NULL;3.7;34.1;48;2
NULL;3.3;35.9;49;2
NULL;3.6;38.3;50;2
NULL;5.2;40.4;51;2
NULL;4.1;44.2;52;2
NULL;3.4;46.8;53;2
NULL;3.1;48.3;54;2
NULL;3.1;50.4;55;2
NULL;2.6;50.1;56;2
NULL;3.8;51.7;57;2
NULL;3.8;52;58;2
NULL;2.3;50.9;59;2
NULL;4.1;51.4;60;2
NULL;3.9;52.4;61;2
NULL;4.6;53.8;62;2
NULL;6.7;55.9;63;2
NULL;6.2;59;64;2
NULL;4.8;61.2;65;2
NULL;5.3;64;66;1
NULL;7.4;71;67;1
NULL;5.5;65;66;2
NULL;7.4;71.8;67;2
