id_ipc_division;valor_ipc_division;id_division;id_periodo;id_region
NULL;1.3;1;1;1
NULL;1.8;1;2;1
NULL;2.8;1;3;1
NULL;2.2;1;4;1
NULL;1.3;1;5;1
NULL;0.9;1;6;1
NULL;1.1;1;7;1
NULL;2.1;1;8;1
NULL;1.8;1;9;1
NULL;1.5;1;10;1
NULL;1.2;1;11;1
NULL;0.7;1;12;1
NULL;2.1;1;13;1
NULL;2.2;1;14;1
NULL;2.3;1;15;1
NULL;1.2;1;16;1
NULL;3.3;1;17;1
NULL;5.2;1;18;1
NULL;4;1;19;1
NULL;4;1;20;1
NULL;7;1;21;1
NULL;5.9;1;22;1
NULL;3.4;1;23;1
NULL;1.7;1;24;1
NULL;3.4;1;25;1
NULL;5.7;1;26;1
NULL;6;1;27;1
NULL;2.5;1;28;1
NULL;2.4;1;29;1
NULL;2.6;1;30;1
NULL;2.3;1;31;1
NULL;4.5;1;32;1
NULL;5.7;1;33;1
NULL;2.5;1;34;1
NULL;5.3;1;35;1
NULL;3.1;1;36;1
NULL;4.7;1;37;1
NULL;2.7;1;38;1
NULL;3.9;1;39;1
NULL;3.2;1;40;1
NULL;0.7;1;41;1
NULL;1;1;42;1
NULL;1.3;1;43;1
NULL;3.5;1;44;1
NULL;3;1;45;1
NULL;4.8;1;46;1
NULL;2.7;1;47;1
NULL;4.4;1;48;1
NULL;4.8;1;49;1
NULL;3.8;1;50;1
NULL;4.6;1;51;1
NULL;4.3;1;52;1
NULL;3.1;1;53;1
NULL;3.2;1;54;1
NULL;3.4;1;55;1
NULL;1.5;1;56;1
NULL;2.9;1;57;1
NULL;3.4;1;58;1
NULL;2.1;1;59;1
NULL;4.3;1;60;1
NULL;4.9;1;61;1
NULL;7.5;1;62;1
NULL;7.2;1;63;1
NULL;5.9;1;64;1
NULL;4.4;1;65;1
NULL;0.9;2;1;1
NULL;4.3;2;2;1
NULL;1.9;2;3;1
NULL;2.4;2;4;1
NULL;1.7;2;5;1
NULL;0.7;2;6;1
NULL;3;2;7;1
NULL;1.3;2;8;1
NULL;0.7;2;9;1
NULL;3;2;10;1
NULL;1.1;2;11;1
NULL;0.5;2;12;1
NULL;2.3;2;13;1
NULL;1.7;2;14;1
NULL;0.7;2;15;1
NULL;1.3;2;16;1
NULL;1.6;2;17;1
NULL;0.9;2;18;1
NULL;2.6;2;19;1
NULL;1.4;2;20;1
NULL;4.4;2;21;1
NULL;2.3;2;22;1
NULL;4.6;2;23;1
NULL;1.4;2;24;1
NULL;3.5;2;25;1
NULL;2.4;2;26;1
NULL;4.1;2;27;1
NULL;1;2;28;1
NULL;2.2;2;29;1
NULL;2.7;2;30;1
NULL;0.9;2;31;1
NULL;4.4;2;32;1
NULL;5.7;2;33;1
NULL;6.2;2;34;1
NULL;5.6;2;35;1
NULL;3.1;2;36;1
NULL;4.3;2;37;1
NULL;1.3;2;38;1
NULL;2.9;2;39;1
NULL;1.4;2;40;1
NULL;0.1;2;41;1
NULL;3.8;2;42;1
NULL;1.4;2;43;1
NULL;1.3;2;44;1
NULL;4.3;2;45;1
NULL;1.9;2;46;1
NULL;3;2;47;1
NULL;3.4;2;48;1
NULL;4.5;2;49;1
NULL;3.6;2;50;1
NULL;6.4;2;51;1
NULL;3.6;2;52;1
NULL;1.6;2;53;1
NULL;5.5;2;54;1
NULL;3.1;2;55;1
NULL;2;2;56;1
NULL;5.9;2;57;1
NULL;2.2;2;58;1
NULL;1.1;2;59;1
NULL;5.4;2;60;1
NULL;1.8;2;61;1
NULL;2.7;2;62;1
NULL;5.7;2;63;1
NULL;3.3;2;64;1
NULL;5.7;2;65;1
NULL;-1;3;1;1
NULL;-0.2;3;2;1
NULL;3.4;3;3;1
NULL;4.5;3;4;1
NULL;1.7;3;5;1
NULL;0.9;3;6;1
NULL;-1.2;3;7;1
NULL;-0.6;3;8;1
NULL;3.8;3;9;1
NULL;2.1;3;10;1
NULL;1.3;3;11;1
NULL;0.8;3;12;1
NULL;-0.8;3;13;1
NULL;-0.6;3;14;1
NULL;4.4;3;15;1
NULL;4;3;16;1
NULL;2;3;17;1
NULL;1.9;3;18;1
NULL;-0.1;3;19;1
NULL;0.3;3;20;1
NULL;9.8;3;21;1
NULL;5;3;22;1
NULL;2.3;3;23;1
NULL;1.1;3;24;1
NULL;-0.6;3;25;1
NULL;1;3;26;1
NULL;6.6;3;27;1
NULL;6.2;3;28;1
NULL;3.4;3;29;1
NULL;1.9;3;30;1
NULL;0.3;3;31;1
NULL;3.1;3;32;1
NULL;9.5;3;33;1
NULL;4.7;3;34;1
NULL;4.4;3;35;1
NULL;2.4;3;36;1
NULL;1.1;3;37;1
NULL;2.4;3;38;1
NULL;4.2;3;39;1
NULL;1.5;3;40;1
NULL;7.5;3;41;1
NULL;6.6;3;42;1
NULL;3.3;3;43;1
NULL;2.2;3;44;1
NULL;5.8;3;45;1
NULL;6.2;3;46;1
NULL;3.7;3;47;1
NULL;3.6;3;48;1
NULL;1.4;3;49;1
NULL;2.8;3;50;1
NULL;10.8;3;51;1
NULL;6;3;52;1
NULL;2.1;3;53;1
NULL;3.5;3;54;1
NULL;1.2;3;55;1
NULL;3.4;3;56;1
NULL;6;3;57;1
NULL;5.1;3;58;1
NULL;4.1;3;59;1
NULL;4.8;3;60;1
NULL;2.4;3;61;1
NULL;3.4;3;62;1
NULL;10.9;3;63;1
NULL;9.9;3;64;1
NULL;5.8;3;65;1
NULL;1.5;4;1;1
NULL;5.4;4;2;1
NULL;3.6;4;3;1
NULL;5.9;4;4;1
NULL;1.8;4;5;1
NULL;1.8;4;6;1
NULL;2;4;7;1
NULL;2.2;4;8;1
NULL;2;4;9;1
NULL;0.9;4;10;1
NULL;1.2;4;11;1
NULL;17.8;4;12;1
NULL;1;4;13;1
NULL;3.8;4;14;1
NULL;0.6;4;15;1
NULL;8;4;16;1
NULL;-0.7;4;17;1
NULL;2.7;4;18;1
NULL;1;4;19;1
NULL;6.2;4;20;1
NULL;2.3;4;21;1
NULL;8.8;4;22;1
NULL;2.1;4;23;1
NULL;3;4;24;1
NULL;3.1;4;25;1
NULL;6.4;4;26;1
NULL;2.8;4;27;1
NULL;2.9;4;28;1
NULL;4;4;29;1
NULL;2.7;4;30;1
NULL;2.2;4;31;1
NULL;2.1;4;32;1
NULL;2;4;33;1
NULL;1.9;4;34;1
NULL;1.5;4;35;1
NULL;2.1;4;36;1
NULL;0.6;4;37;1
NULL;0.6;4;38;1
NULL;1.4;4;39;1
NULL;0;4;40;1
NULL;0.1;4;41;1
NULL;0.9;4;42;1
NULL;1;4;43;1
NULL;2.3;4;44;1
NULL;1.5;4;45;1
NULL;2.3;4;46;1
NULL;2.5;4;47;1
NULL;3;4;48;1
NULL;1.1;4;49;1
NULL;2;4;50;1
NULL;1.3;4;51;1
NULL;3.5;4;52;1
NULL;2;4;53;1
NULL;2.5;4;54;1
NULL;2.9;4;55;1
NULL;1.1;4;56;1
NULL;1.9;4;57;1
NULL;2.5;4;58;1
NULL;2.2;4;59;1
NULL;2.1;4;60;1
NULL;1.8;4;61;1
NULL;2.8;4;62;1
NULL;7.7;4;63;1
NULL;4.6;4;64;1
NULL;3.6;4;65;1
NULL;2.4;6;1;1
NULL;2.7;6;2;1
NULL;2;6;3;1
NULL;1.8;6;4;1
NULL;1.5;6;5;1
NULL;1.5;6;6;1
NULL;3.3;6;7;1
NULL;2.5;6;8;1
NULL;2.4;6;9;1
NULL;1.1;6;10;1
NULL;1.3;6;11;1
NULL;2.4;6;12;1
NULL;1.8;6;13;1
NULL;2.3;6;14;1
NULL;1.3;6;15;1
NULL;1.8;6;16;1
NULL;2.2;6;17;1
NULL;4.3;6;18;1
NULL;2.8;6;19;1
NULL;4.1;6;20;1
NULL;4.5;6;21;1
NULL;5.5;6;22;1
NULL;5.7;6;23;1
NULL;5.2;6;24;1
NULL;2.9;6;25;1
NULL;3.2;6;26;1
NULL;3.2;6;27;1
NULL;3.5;6;28;1
NULL;5.1;6;29;1
NULL;3.6;6;30;1
NULL;4.1;6;31;1
NULL;5.2;6;32;1
NULL;8.3;6;33;1
NULL;4.7;6;34;1
NULL;6.3;6;35;1
NULL;5.6;6;36;1
NULL;-2;6;37;1
NULL;0.4;6;38;1
NULL;2.7;6;39;1
NULL;1.2;6;40;1
NULL;1.1;6;41;1
NULL;2.2;6;42;1
NULL;2.2;6;43;1
NULL;2.4;6;44;1
NULL;3.5;6;45;1
NULL;3.1;6;46;1
NULL;3.7;6;47;1
NULL;5.2;6;48;1
NULL;3.4;6;49;1
NULL;3.5;6;50;1
NULL;4;6;51;1
NULL;3.7;6;52;1
NULL;4.8;6;53;1
NULL;3.2;6;54;1
NULL;3.8;6;55;1
NULL;4.2;6;56;1
NULL;4.3;6;57;1
NULL;4.7;6;58;1
NULL;2.4;6;59;1
NULL;0.5;6;60;1
NULL;4.1;6;61;1
NULL;3.6;6;62;1
NULL;5;6;63;1
NULL;6.4;6;64;1
NULL;6.2;6;65;1
NULL;2.1;7;1;1
NULL;1.9;7;2;1
NULL;1.2;7;3;1
NULL;0.6;7;4;1
NULL;0.9;7;5;1
NULL;0.7;7;6;1
NULL;2.2;7;7;1
NULL;1.1;7;8;1
NULL;0.8;7;9;1
NULL;1.3;7;10;1
NULL;3;7;11;1
NULL;3.2;7;12;1
NULL;2.2;7;13;1
NULL;4.5;7;14;1
NULL;1.8;7;15;1
NULL;4;7;16;1
NULL;1.9;7;17;1
NULL;5.9;7;18;1
NULL;5.2;7;19;1
NULL;4;7;20;1
NULL;10.4;7;21;1
NULL;7.6;7;22;1
NULL;2.7;7;23;1
NULL;2.4;7;24;1
NULL;2.5;7;25;1
NULL;2.2;7;26;1
NULL;4.2;7;27;1
NULL;4.4;7;28;1
NULL;3.5;7;29;1
NULL;1.6;7;30;1
NULL;1.1;7;31;1
NULL;4;7;32;1
NULL;4.7;7;33;1
NULL;3.5;7;34;1
NULL;4.6;7;35;1
NULL;5;7;36;1
NULL;1.5;7;37;1
NULL;1.6;7;38;1
NULL;1.6;7;39;1
NULL;1.3;7;40;1
NULL;1.1;7;41;1
NULL;1.8;7;42;1
NULL;1.8;7;43;1
NULL;2.8;7;44;1
NULL;3.6;7;45;1
NULL;4.2;7;46;1
NULL;3.6;7;47;1
NULL;4.9;7;48;1
NULL;4.6;7;49;1
NULL;4.8;7;50;1
NULL;4.2;7;51;1
NULL;5.7;7;52;1
NULL;6;7;53;1
NULL;3.3;7;54;1
NULL;2.3;7;55;1
NULL;2.4;7;56;1
NULL;3;7;57;1
NULL;3.1;7;58;1
NULL;2.2;7;59;1
NULL;4.9;7;60;1
NULL;2.8;7;61;1
NULL;4.9;7;62;1
NULL;5.5;7;63;1
NULL;5.3;7;64;1
NULL;6.1;7;65;1
NULL;3.1;8;1;1
NULL;4.1;8;2;1
NULL;3.2;8;3;1
NULL;6.8;8;4;1
NULL;0.3;8;5;1
NULL;1.2;8;6;1
NULL;0.9;8;7;1
NULL;1.5;8;8;1
NULL;1.1;8;9;1
NULL;5.3;8;10;1
NULL;0.7;8;11;1
NULL;1.7;8;12;1
NULL;1.9;8;13;1
NULL;9.1;8;14;1
NULL;2.7;8;15;1
NULL;1;8;16;1
NULL;3.9;8;17;1
NULL;0.4;8;18;1
NULL;0.6;8;19;1
NULL;12.4;8;20;1
NULL;2.1;8;21;1
NULL;0.7;8;22;1
NULL;3;8;23;1
NULL;7.7;8;24;1
NULL;7.4;8;25;1
NULL;1.1;8;26;1
NULL;4.4;8;27;1
NULL;3.5;8;28;1
NULL;2;8;29;1
NULL;7.1;8;30;1
NULL;0.2;8;31;1
NULL;1.2;8;32;1
NULL;6.7;8;33;1
NULL;0.5;8;34;1
NULL;7.4;8;35;1
NULL;9.6;8;36;1
NULL;0.1;8;37;1
NULL;2.3;8;38;1
NULL;8.3;8;39;1
NULL;-4.1;8;40;1
NULL;0.3;8;41;1
NULL;0.4;8;42;1
NULL;0.7;8;43;1
NULL;0.3;8;44;1
NULL;0.1;8;45;1
NULL;-0.1;8;46;1
NULL;-0.6;8;47;1
NULL;0;8;48;1
NULL;15.1;8;49;1
NULL;1.8;8;50;1
NULL;0.1;8;51;1
NULL;0.5;8;52;1
NULL;1;8;53;1
NULL;7;8;54;1
NULL;0.4;8;55;1
NULL;-0.6;8;56;1
NULL;2.8;8;57;1
NULL;1.1;8;58;1
NULL;0.8;8;59;1
NULL;1.8;8;60;1
NULL;7.5;8;61;1
NULL;1.5;8;62;1
NULL;3.4;8;63;1
NULL;3.7;8;64;1
NULL;3.1;8;65;1
NULL;0.8;10;1;1
NULL;3.2;10;2;1
NULL;10.9;10;3;1
NULL;2.9;10;4;1
NULL;1.7;10;5;1
NULL;1;10;6;1
NULL;0.8;10;7;1
NULL;2;10;8;1
NULL;3.7;10;9;1
NULL;0.8;10;10;1
NULL;0.3;10;11;1
NULL;0;10;12;1
NULL;0.6;10;13;1
NULL;1.9;10;14;1
NULL;13.8;10;15;1
NULL;0.8;10;16;1
NULL;0.9;10;17;1
NULL;1.2;10;18;1
NULL;1.8;10;19;1
NULL;1.9;10;20;1
NULL;1.6;10;21;1
NULL;2.1;10;22;1
NULL;1.2;10;23;1
NULL;1;10;24;1
NULL;0.6;10;25;1
NULL;1.7;10;26;1
NULL;17.9;10;27;1
NULL;1.5;10;28;1
NULL;3.3;10;29;1
NULL;1.8;10;30;1
NULL;2.1;10;31;1
NULL;2.5;10;32;1
NULL;1;10;33;1
NULL;1.6;10;34;1
NULL;4.4;10;35;1
